id_articulo,articulo,ultima_compra_mes
ART-6adfd738ab,Pequeño material,
ART-8c72f3da9f,//COSTE 1€  (solo para ofertas),
ART-f3bb1d9989,(GENERICO)  -sin coste-,2021-09
ART-5a20a855d1,CONTACTO: [person] [customer] [phone]  -llamar en horario de 7:00h a 15:00h-,2025-02
ART-fc6272d44d,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2022-10
ART-ae58296daf,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2022-06
ART-93d18d8bc2,Mano Obra - Normal,2024-04
ART-104324db4a,CONTACTO: [person] -[customer]: [phone] 4414 personal [phone] -llamar en horario de 7:00h a 15:00h-,2025-09
ART-ca64c67a8e,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2024-08
ART-5dd5318e05,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2025-11
ART-8e4adc93c8,UNION TUERCA MOVIL PRENSAR,
ART-b0d00145fd,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2017-12
ART-a163ef389b,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 14:00h-,2023-05
ART-f0700483ef,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2022-11
ART-055b23aab9,CONTACTO: [person] [customer] - [phone]  -llamar en horario de 7:00h a 15:00h,2025-01
ART-59ab63106e,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2019-11
ART-8c42fc87a9,CONTACTO: [person] - 628-327640  -llamar en horario de 7:00h a 15:00h-,2025-07
ART-3b2fda5247,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2025-01
ART-3676e9267f,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2023-05
ART-76882b328a,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2025-02
ART-dfcb0f1777,CONTACTO: [person]  -llamar en horario de 7:00h a 15:00h-,2020-09
ART-198157d4e0,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2024-09
ART-224035c42e,"JUNTA FIBRA VERDE PARA HIERRO FUNDIDO 48*5,1",2025-06
ART-1eaeaf6b4b,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2017-04
ART-be6554e46c,CONTACTO: [person]- [phone]  -llamar en horario de 7:00h a 15:00h-,2025-06
ART-00f6de348c,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2024-12
ART-110beff28c,CONTACTO: [person] - [phone]  -llamar en horario de 7:00h a 15:00h-,2025-09
